timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,interface,rule_id,bytes_in,bytes_out
1773792002,10.1.1.10,65445,10.1.10.7,25,TCP,ALLOW,lan_clinical,rule_32,3755,5886
1773792013,10.1.1.40,53860,13.107.42.14,53,UDP,ALLOW,wan,rule_6,989,1233
1773792021,13.107.42.14,60796,52.168.112.78,443,UDP,BLOCK,lan_clinical,rule_48,7564,26513
1773792029,10.1.1.30,63068,10.1.10.3,135,UDP,ALLOW,wan,rule_41,6034,8752
1773792038,10.1.11.9,54048,10.1.2.30,636,TCP,ALLOW,lan_clinical,rule_27,787,12440
1773792046,10.0.0.10,64988,10.1.10.3,993,TCP,ALLOW,lan_billing,rule_5,5991,18548
1773792060,10.1.10.1,63307,10.1.1.11,389,UDP,ALLOW,lan_clinical,rule_16,6792,13020
1773792067,10.1.12.2,61000,10.1.10.5,636,TCP,ALLOW,wan,rule_10,4956,22955
1773792078,10.1.10.5,52437,10.1.10.7,22,TCP,BLOCK,lan_clinical,rule_38,3216,7244
1773792087,10.1.12.2,57778,10.1.1.10,993,TCP,BLOCK,lan_billing,rule_21,880,27096
1773792115,10.1.1.11,57966,10.1.1.10,443,TCP,ALLOW,wan,rule_6,5747,10925
1773792149,10.1.1.10,63954,10.1.2.40,135,UDP,ALLOW,lan_billing,rule_9,2453,15155
1773792150,10.1.1.10,63022,10.1.10.7,443,TCP,ALLOW,lan_clinical,rule_32,2609,30490
1773792157,10.0.0.10,58165,10.1.1.10,80,TCP,BLOCK,lan_servers,rule_20,2865,16983
1773792178,10.1.2.11,56928,10.1.2.40,445,TCP,ALLOW,lan_clinical,rule_8,2189,19629
1773792186,10.1.10.1,49528,13.107.42.14,636,TCP,ALLOW,wan,rule_45,4356,13637
1773792195,10.2.1.10,54699,10.1.2.40,25,UDP,ALLOW,lan_billing,rule_23,4835,16024
1773792208,10.2.1.11,60347,52.168.112.45,443,TCP,ALLOW,wan,rule_25,4595,8353
1773792212,10.1.2.20,52624,10.1.1.11,88,UDP,BLOCK,lan_servers,rule_5,2652,14396
1773792258,10.1.2.30,49424,10.1.10.7,5432,TCP,ALLOW,lan_clinical,rule_10,5968,23651
1773792264,10.1.1.30,59791,52.168.112.78,636,TCP,ALLOW,wan,rule_30,3259,22103
1773792266,10.0.0.10,61863,140.82.112.22,445,TCP,BLOCK,lan_servers,rule_28,2275,25516
1773792267,52.168.112.78,54662,10.1.10.3,443,TCP,ALLOW,lan_clinical,rule_11,3690,17336
1773792284,10.1.12.1,60962,52.168.112.78,80,UDP,BLOCK,lan_clinical,rule_12,2365,867
1773792286,10.1.1.11,55785,10.1.1.10,389,TCP,ALLOW,wan,rule_14,4078,15751
1773792312,10.1.2.10,50707,10.1.1.11,443,TCP,ALLOW,lan_clinical,rule_16,5091,19106
1773792316,10.1.2.40,62265,10.1.10.1,3389,TCP,ALLOW,lan_clinical,rule_5,7175,13772
1773792316,10.1.2.30,57595,13.107.42.14,25,UDP,ALLOW,lan_servers,rule_36,4214,4945
1773792319,10.1.1.40,51707,140.82.112.22,636,TCP,ALLOW,lan_clinical,rule_49,7329,27132
1773792329,10.1.1.30,51616,10.1.1.11,445,TCP,ALLOW,wan,rule_46,2644,2899
1773792357,10.1.12.2,65214,52.168.112.78,445,TCP,ALLOW,lan_clinical,rule_38,2368,31515
1773792358,10.2.1.10,56739,10.1.10.1,80,UDP,ALLOW,lan_clinical,rule_17,2220,31881
1773792358,10.2.1.10,56739,10.1.10.1,80,UDP,ALLOW,lan_clinical,rule_17,2220,31881
1773792364,10.1.2.40,50626,10.1.2.30,993,UDP,ALLOW,lan_clinical,rule_34,939,8236
1773792372,10.1.1.10,63123,10.1.10.7,443,TCP,ALLOW,wan,rule_39,5986,31430
1773792373,10.1.2.10,62420,52.168.112.78,22,TCP,ALLOW,lan_servers,rule_20,7925,14487
1773792375,52.168.112.78,61357,52.168.112.78,445,UDP,ALLOW,lan_billing,rule_33,4101,9070
1773792381,10.0.0.10,53488,10.1.2.40,88,TCP,ALLOW,lan_servers,rule_39,6636,11843
1773792384,10.1.1.30,62017,10.1.10.1,636,TCP,ALLOW,wan,rule_43,5443,3360
1773792385,10.1.10.7,63822,10.1.2.40,5432,TCP,ALLOW,lan_servers,rule_12,2365,14863
1773792397,10.1.2.11,64636,10.1.10.7,389,TCP,ALLOW,lan_servers,rule_4,7571,1530
1773792400,10.1.1.10,64012,10.1.2.30,135,UDP,ALLOW,lan_servers,rule_18,3633,24171
1773792416,10.1.10.12,61526,10.1.2.40,5432,TCP,BLOCK,wan,rule_20,4021,23474
1773792431,10.1.1.40,62515,52.168.112.45,445,TCP,ALLOW,lan_clinical,rule_31,5676,28332
1773792434,10.2.1.10,58147,10.1.2.30,3389,TCP,ALLOW,lan_servers,rule_29,5325,4261
1773792446,10.1.10.12,56533,10.1.2.40,5432,TCP,ALLOW,lan_servers,rule_49,6244,30917
