timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,interface,rule_id,bytes_in,bytes_out
1775001600,10.3.1.10,52803,10.5.10.5,25,TCP,BLOCK,lan_clinical,rule_20,4571,31125
1775001606,10.4.2.10,59248,13.107.42.14,25,TCP,ALLOW,lan_billing,rule_39,1677,17969
1775001608,10.3.1.11,54514,52.168.112.45,636,TCP,ALLOW,wan,rule_11,6998,7866
1775001612,10.4.12.1,52556,10.5.10.5,25,TCP,ALLOW,wan,rule_9,6463,6292
1775001632,10.5.10.1,62100,52.168.112.78,25,TCP,ALLOW,lan_servers,rule_43,7878,4282
1775001635,10.4.2.11,59700,10.5.10.1,5432,TCP,ALLOW,wan,rule_21,1753,14301
1775001644,10.5.1.50,57525,52.168.112.45,88,TCP,ALLOW,lan_servers,rule_32,7765,5213
1775001645,52.168.112.78,51592,140.82.112.22,636,TCP,ALLOW,lan_clinical,rule_3,6384,28558
1775001667,10.3.11.9,57487,13.107.42.14,22,TCP,BLOCK,wan,rule_24,4030,30256
1775001672,10.3.11.9,64210,10.4.2.40,443,UDP,ALLOW,lan_servers,rule_7,3797,8390
1775001689,13.107.42.14,57775,10.4.2.30,3389,TCP,ALLOW,lan_billing,rule_36,2589,7131
1775001690,52.168.112.45,50976,52.168.112.78,636,TCP,ALLOW,lan_servers,rule_25,5451,17897
1775001692,10.5.10.3,49654,10.4.2.40,88,TCP,ALLOW,lan_billing,rule_49,5998,10715
1775001699,10.4.2.11,56379,10.3.11.9,993,TCP,ALLOW,lan_clinical,rule_27,1330,9297
1775001704,10.5.0.10,64251,10.3.1.10,53,UDP,BLOCK,lan_clinical,rule_15,4602,19975
1775001717,10.5.10.3,60504,13.107.42.14,993,TCP,ALLOW,lan_clinical,rule_43,2663,23718
1775001729,10.4.2.11,50203,52.168.112.78,3389,TCP,ALLOW,lan_clinical,rule_19,6280,30556
1775001738,10.3.1.30,58593,10.5.10.3,53,TCP,ALLOW,lan_clinical,rule_45,3728,25505
1775001746,10.3.11.9,61661,52.168.112.78,993,TCP,ALLOW,wan,rule_37,7456,14730
1775001748,10.4.12.2,65060,13.107.42.14,22,UDP,ALLOW,lan_clinical,rule_17,7315,15911
1775001772,10.4.2.10,62177,52.168.112.45,88,TCP,ALLOW,lan_billing,rule_46,2987,15721
1775001773,10.5.10.3,50879,10.5.10.1,445,TCP,ALLOW,lan_servers,rule_19,6511,12414
1775001800,10.4.2.30,53235,10.4.2.30,389,TCP,ALLOW,lan_clinical,rule_3,6223,18488
1775001817,10.5.0.10,61859,13.107.42.14,443,TCP,ALLOW,wan,rule_5,4585,9280
1775001820,52.168.112.45,59507,10.5.10.5,445,TCP,ALLOW,lan_servers,rule_25,1490,20639
1775001834,10.3.1.40,54097,10.4.2.30,88,TCP,BLOCK,lan_clinical,rule_7,1081,20176
1775001844,10.5.10.5,58268,10.3.1.10,88,TCP,ALLOW,wan,rule_19,1853,13600
1775001856,10.5.1.50,58919,140.82.112.22,80,TCP,BLOCK,lan_servers,rule_46,2155,30660
